0,8.7,4,10,3,11,12,11,21,26
0,5.5,2,17,3,7,9,7,17,24
0,8.7,3,24,3,9,9,9,9,12
0,8.7,3,31,5,7,9,7,27,4
0,5.5,3,39,8,8,10,8,23,68
0,4,2,46,5,4,8,4,33,83
0,8.7,2,53,-2,1,4,1,20,12
0,8.7,2,61,0,4,6,4,15,18
0,4,2,68,3,3,6,3,23,100
0,5.5,2,75,2,3,6,3,21,64
0,7.1,1,82,0,2,5,2,22,78
0,7.1,2,90,0,2,5,2,18,19
0,8.7,2,97,0,4,6,4,14,2
0,8.7,3,100,3,6,7,6,13,16
0,8.7,2,89,3,8,9,8,9,30
0,8.7,3,81,1,4,7,4,20,3
0,8.7,3,74,3,7,9,7,15,1
0,8.7,2,67,-4,4,7,4,28,17
0,8.7,2,59,-8,1,5,1,19,0
0,8.7,2,52,-6,5,6,5,8,0
0,8.7,3,45,1,4,7,4,24,0
